Spotify_ID,Artist,Title,Year,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Clustering Coefficient,Community
3tyPOhuVnt5zd5kGfxbCyL,Rihanna,Where Have You Been,2013,0.00840140023337223,0.0,0.00840140023337223,1.0,952
3WD91HQDBIavSapet3ZpjG,Lana Del Rey,Video Games,2013,0.0021003500583430573,0.0,0.0021003500583430573,1.0,805
25cUhiAod71TIQSNicOaW3,Miguel,Adorn,2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,806
4HXOBjwv2RnLpGG4xWOO6N,Coldplay,Princess of China,2013,0.0030338389731621937,0.0,0.0030338389731621937,1.0,1382
6HZ9VeI5IRFCNQLXhpF4bq,Icona Pop,I Love It (feat. Charli XCX),2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,539
0lHAMNU8RGiIObScrsRgmP,David Guetta,Titanium (feat. Sia),2013,0.007467911318553093,0.0,0.007467911318553093,1.0,5
4XNrMwGx1SqP01sqkGTDmo,Maroon 5,One More Night,2013,0.009101516919486581,0.0,0.009101516919486581,1.0,394
1DunhgeZSEgWiIYbHqXl0c,Disclosure,Latch,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1461
5NlFXQ0si6U87gXs6hq81B,Robbie Williams,Candy,2013,0.0,0.0,0.0,0.0,126
5g7rJvWYVrloJZwKiShqlS,Of Monsters and Men,Dirty Paws,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1099
53QF56cjZA9RTuuMZDrSA6,Jason Mraz,I Won't Give Up,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,398
6VRhkROS2SZHGlp0pxndbJ,Skrillex,Bangarang (feat. Sirah),2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,812
7mDKRYiqejoHzP7dQGxLys,Azealia Banks,212,2013,0.0,0.0,0.0,0.0,813
6KuHjfXHkfnIjdmcIvt9r0,Imagine Dragons,On Top Of The World,2013,0.005834305717619603,0.0,0.005834305717619603,1.0,919
2sEk5R8ErGIFxbZ7rX6S2S,MARINA,How to Be a Heartbreaker,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,815
5ujh1I7NZH5agbwf7Hp8Hc,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,2013,0.0023337222870478415,0.0,0.002333722287047841,1.0,1071
1X1DWw2pcNZ8zSub3uhlNz,The Script,Hall of Fame (feat. will.i.am),2013,0.0011668611435239208,0.0,0.0011668611435239206,1.0,817
