loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
8855,3uVE5vLKkigiWBOQEgmdDk,Who's That Girl?,2016,Eve,-0.08306451612903228,0.5095046082949309,"Sentiment(polarity=-0.08306451612903228, subjectivity=0.5095046082949309)"
4267,1IoE5Nl2qFhdNyaStYNAIs,Nowadays,2022,Dibyo,-0.08318181818181819,0.599090909090909,"Sentiment(polarity=-0.08318181818181819, subjectivity=0.599090909090909)"
10601,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,2021,Tones And I,-0.08333333333333333,0.18333333333333335,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.18333333333333335)"
11044,2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,2019,Ant Saunders,-0.08400349650349652,0.5036421911421911,"Sentiment(polarity=-0.08400349650349652, subjectivity=0.5036421911421911)"
7438,05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti),2015,Yung Joc,-0.08437734021246952,0.5298447062994482,"Sentiment(polarity=-0.08437734021246952, subjectivity=0.5298447062994482)"
2772,5krgkQ9TM6hGCW5xVOdVTg,Infinity 2012 - DJ Antoine vs Mad Mark Radio Edit,2011,Guru Josh,-0.085,0.76,"Sentiment(polarity=-0.085, subjectivity=0.76)"
8815,0hUepWE4GoMwtKgU8vE617,G.O.A.T.,2017,Eric Bellinger,-0.08514610389610391,0.553124098124098,"Sentiment(polarity=-0.08514610389610391, subjectivity=0.553124098124098)"
3558,4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,2021,Steve Lacy,-0.08550724637681158,0.5332125603864735,"Sentiment(polarity=-0.08550724637681158, subjectivity=0.5332125603864735)"
8816,3mDL5BWuaVwXFAhZMWp88E,Eshay,2016,Gucci Dassy,-0.08553246753246753,0.37486147186147173,"Sentiment(polarity=-0.08553246753246753, subjectivity=0.37486147186147173)"
11288,1ylymaTbSjggG7TaItdRkI,Out On Bail,2020,YG,-0.0875757575757576,0.4948148148148148,"Sentiment(polarity=-0.0875757575757576, subjectivity=0.4948148148148148)"
2608,70ATm56tH7OrQ1zurYssz0,I Need A Doctor,2010,Dr. Dre,-0.09075757575757573,0.29313446969696966,"Sentiment(polarity=-0.09075757575757573, subjectivity=0.29313446969696966)"
4907,3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),2020,StarBoi3,-0.09568503568503568,0.5406294606294602,"Sentiment(polarity=-0.09568503568503568, subjectivity=0.5406294606294602)"
11580,0kLd1P8l30Y5Wa5BgrRSZq,Like Me,2022,Catlea,-0.09597701149425288,0.4858237547892722,"Sentiment(polarity=-0.09597701149425288, subjectivity=0.4858237547892722)"
1832,2tNE4DP5nL85XUJv1glO0a,This Ain't a Love Song,2010,Scouting For Girls,-0.0963235294117647,0.4709558823529413,"Sentiment(polarity=-0.0963235294117647, subjectivity=0.4709558823529413)"
5097,56H3K8a3gbWeX0cg4GjSzC,Trapped in My Mind,2012,Adam Oh,-0.09858091787439616,0.4746376811594203,"Sentiment(polarity=-0.09858091787439616, subjectivity=0.4746376811594203)"
1875,7xJLkoGjTzIsD3348VALzl,Daytrippin,2010,Iration,-0.1,0.47500000000000003,"Sentiment(polarity=-0.1, subjectivity=0.47500000000000003)"
11562,7wopmoXSlGVfQjMywUW7zb,Gat,2022,Camboocha,-0.10033222591362126,0.5526070505721669,"Sentiment(polarity=-0.10033222591362126, subjectivity=0.5526070505721669)"
11571,2HtGVdHNY4xmFi7qvbvveF,Spiral,2022,Bleu Grave,-0.10115740740740743,0.6219907407407408,"Sentiment(polarity=-0.10115740740740743, subjectivity=0.6219907407407408)"
11069,3G47RiG2PrvEVo4panDHi9,Be Gone Thot!,2019,LIL MAYO,-0.10272727272727274,0.4009090909090909,"Sentiment(polarity=-0.10272727272727274, subjectivity=0.4009090909090909)"
7807,5cI23aJ66Gw2a4N8l4dGYw,Coal,2015,Dylan Gossett,-0.10307539682539682,0.5163690476190476,"Sentiment(polarity=-0.10307539682539682, subjectivity=0.5163690476190476)"
5517,275a9yzwGB6ncAW4SxY7q3,Panda,2022,Desiigner,-0.1063568010936432,0.4234278879015721,"Sentiment(polarity=-0.1063568010936432, subjectivity=0.4234278879015721)"
9309,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,2017,Zac Efron,-0.10666666666666665,0.7808333333333333,"Sentiment(polarity=-0.10666666666666665, subjectivity=0.7808333333333333)"
11281,1NzRZ7AosK7ZDumMsZYofo,Just Friends,2020,Audrey Mika,-0.10694444444444447,0.2986111111111111,"Sentiment(polarity=-0.10694444444444447, subjectivity=0.2986111111111111)"
7866,1pWVRVbITSHchGebSH9QS4,If You Were Me,2015,VOILÀ,-0.10723684210526316,0.37938596491228077,"Sentiment(polarity=-0.10723684210526316, subjectivity=0.37938596491228077)"
7052,5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),2019,Rob $tone,-0.10735350958565246,0.5430272108843538,"Sentiment(polarity=-0.10735350958565246, subjectivity=0.5430272108843538)"
4646,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,2012,CJ,-0.10759615384615384,0.3047115384615385,"Sentiment(polarity=-0.10759615384615384, subjectivity=0.3047115384615385)"
9756,74lnM5V6ecvoTPV0fvptx9,Nuketown (feat. Juice WRLD),2018,Ski Mask The Slump God,-0.10888888888888887,0.47,"Sentiment(polarity=-0.10888888888888887, subjectivity=0.47)"
7830,0EtKPjxo5ArYJoGCptW04J,Another Man’s Grave,2015,Amigo the Devil,-0.10925925925925924,0.462962962962963,"Sentiment(polarity=-0.10925925925925924, subjectivity=0.462962962962963)"
4316,2IoEzrYIOuxVmNHg0N9D8w,We All Got Friends,2022,AJ Smith,-0.11044114615543188,0.4953360131931561,"Sentiment(polarity=-0.11044114615543188, subjectivity=0.4953360131931561)"
3197,7ueP5u2qkdZbIPN2YA6LR0,Sail,2012,AWOLNATION,-0.11071428571428572,0.5428571428571428,"Sentiment(polarity=-0.11071428571428572, subjectivity=0.5428571428571428)"
4993,4qurYtEhquu3B185Do2vCM,Whoopty,2022,ERS,-0.11333333333333336,0.8566666666666667,"Sentiment(polarity=-0.11333333333333336, subjectivity=0.8566666666666667)"
10055,2V4Fx72svQRxrFvNT1eq5f,THE BADDEST,2018,K/DA,-0.11406100478468896,0.6086184210526315,"Sentiment(polarity=-0.11406100478468896, subjectivity=0.6086184210526315)"
4343,5WxVXxCMRnvxUKFq40ELwq,Escapism.,2022,RAYE,-0.11408611430763328,0.3314665187133539,"Sentiment(polarity=-0.11408611430763328, subjectivity=0.3314665187133539)"
9029,2gE95JskwQ1pCACTpGe1Db,Down On The Corner,2016,Creedence Clearwater Revival,-0.11785714285714285,0.557142857142857,"Sentiment(polarity=-0.11785714285714285, subjectivity=0.557142857142857)"
4231,0FjIq4N2rLwix5j9fgjqam,Hurt Me,2022,Jake Hope,-0.11849593495934961,0.30467479674796766,"Sentiment(polarity=-0.11849593495934961, subjectivity=0.30467479674796766)"
7261,5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,2014,AronChupa,-0.12031250000000002,0.42499999999999993,"Sentiment(polarity=-0.12031250000000002, subjectivity=0.42499999999999993)"
8821,0yQgvvEyDS5xICpMsj6O2k,Hotel (Sped Up),2017,Lawsy,-0.12160000000000001,0.4456,"Sentiment(polarity=-0.12160000000000001, subjectivity=0.4456)"
9654,2z4ghLwxL91dwteYmc1PR4,Escape,2017,OKZZ,-0.1218045112781955,0.41372180451127827,"Sentiment(polarity=-0.1218045112781955, subjectivity=0.41372180451127827)"
7899,29btqRLdovq2YXMHal5gR8,Demons and Angels,2015,LOWBORN,-0.12187499999999998,0.6963541666666667,"Sentiment(polarity=-0.12187499999999998, subjectivity=0.6963541666666667)"
6856,00vk0sEfb6mr2ehwSw0Uhn,Don't Be So Shy - Filatov & Karas Remix,2014,Imany,-0.12190476190476192,0.42142857142857143,"Sentiment(polarity=-0.12190476190476192, subjectivity=0.42142857142857143)"
