loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
5192,6zrfAPoNiJyeJnYl9dHSmQ,Drip,2012,Klondike Blonde,-0.04729688915735428,0.3675928722440351,"Sentiment(polarity=-0.04729688915735428, subjectivity=0.3675928722440351)"
5183,3lCCkv3JqiNhkMQUDPTAPm,Into Your Arms,2022,Felax,-0.04683988630417202,0.4674882260596546,"Sentiment(polarity=-0.04683988630417202, subjectivity=0.4674882260596546)"
1056,426vBhxw4upEf11BqBBgs0,Beat Again - Radio Edit,2010,JLS,-0.04615384615384615,0.20384615384615384,"Sentiment(polarity=-0.04615384615384615, subjectivity=0.20384615384615384)"
9615,6ONUKKgbNnfqMNgnS1Da4U,UT IKVÄLL,2017,LOOKET,-0.04591836734693876,0.4727891156462585,"Sentiment(polarity=-0.04591836734693876, subjectivity=0.4727891156462585)"
11595,7zIrGUMA1vrUmTso2iJ8Yc,Proved Me Wrong,2022,Krillz,-0.04587053571428572,0.3959449404761905,"Sentiment(polarity=-0.04587053571428572, subjectivity=0.3959449404761905)"
10907,2PI3qpTqYowwMzOSQRuj73,Weeeeee,2020,Trippie Redd,-0.045833333333333344,0.28020833333333334,"Sentiment(polarity=-0.045833333333333344, subjectivity=0.28020833333333334)"
7832,1v2EmuslskqaQS0iNfhwMb,Call My Name,2015,The Unlikely Candidates,-0.045804761904761904,0.40262857142857134,"Sentiment(polarity=-0.045804761904761904, subjectivity=0.40262857142857134)"
11525,2alc8VZAzDgdAsL2QMk3hu,Skechers,2022,DripReport,-0.04509379509379504,0.5137085137085137,"Sentiment(polarity=-0.04509379509379504, subjectivity=0.5137085137085137)"
7802,0v5owLvqhMpiDpTI6YZbUa,MASOCHIST,2015,Thomas Day,-0.045000000000000005,0.6049999999999999,"Sentiment(polarity=-0.045000000000000005, subjectivity=0.6049999999999999)"
7534,1A8j067qyiNwQnZT0bzUpZ,This Girl (Kungs Vs. Cookin' On 3 Burners),2018,Kungs,-0.04493571743571743,0.48405347842847846,"Sentiment(polarity=-0.04493571743571743, subjectivity=0.48405347842847846)"
2678,6rbhWExtuchhpLC5fHnB8n,Motivation,2011,Kelly Rowland,-0.044602272727272727,0.3857007575757576,"Sentiment(polarity=-0.044602272727272727, subjectivity=0.3857007575757576)"
8961,7cp4RhTjLWv4XEyeJLcbrp,No More,2017,Verzache,-0.04453781512605042,0.3216386554621849,"Sentiment(polarity=-0.04453781512605042, subjectivity=0.3216386554621849)"
289,07WEDHF2YwVgYuBugi2ECO,Kickstarts,2011,Example,-0.04445759368836292,0.4709861932938856,"Sentiment(polarity=-0.04445759368836292, subjectivity=0.4709861932938856)"
937,2oENJa1T33GJ0w8dC167G4,Fire Burning,2011,Sean Kingston,-0.044305555555555556,0.5255555555555557,"Sentiment(polarity=-0.044305555555555556, subjectivity=0.5255555555555557)"
11627,5qpEtUsEI1VkG63MNlRrAC,Come Back Home,2022,Petey Martin,-0.04313725490196079,0.09901960784313726,"Sentiment(polarity=-0.04313725490196079, subjectivity=0.09901960784313726)"
9860,6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),2019,Polo G,-0.04285714285714285,0.4261904761904763,"Sentiment(polarity=-0.04285714285714285, subjectivity=0.4261904761904763)"
