Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2018,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2021,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2021,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2019,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2019,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2020,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2022,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
3H7ihDc1dqLriiWXwsc2po,Breaking Me,2020,Topic,-0.012087912087912104,0.4494505494505494,"Sentiment(polarity=-0.012087912087912104, subjectivity=0.4494505494505494)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2017,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2018,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2017,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2015,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
